,year,kind,genre,country,language,rating,vote
411,86,1,4,3,7,6,902
412,84,1,6,9,16,7,633
413,85,7,14,9,16,7,48
414,76,1,6,9,41,7,61
415,82,1,5,10,54,6,3887
416,82,1,7,10,39,8,22512
417,72,1,0,3,7,7,1116
418,71,1,4,9,16,5,2190
419,83,1,4,4,26,8,69667
420,60,3,4,9,16,5,1708
421,83,1,2,9,16,4,17398
422,43,1,0,6,33,8,117088
423,84,1,6,9,16,7,259
424,83,4,7,8,16,7,278
425,83,7,6,9,16,7,76
426,77,1,0,10,56,4,65
427,78,3,7,9,16,6,549
428,79,1,4,4,26,6,2335
429,72,7,2,9,16,7,21
430,87,7,2,9,16,6,382
431,75,4,7,9,16,6,10920
432,45,1,7,1,20,7,6782
433,83,2,7,10,16,4,381
434,78,7,8,9,16,6,338
435,86,1,7,3,7,5,4790
436,83,7,6,9,16,7,38
437,56,1,6,9,16,8,99
438,82,0,5,8,16,7,1979
439,81,1,4,1,20,6,586
440,81,7,6,9,41,6,87
441,60,1,1,9,16,4,13259
442,82,2,2,6,41,7,887
443,79,1,7,8,16,7,7885
444,85,1,8,9,16,6,42
445,80,7,8,9,16,7,126
446,77,3,4,10,16,7,5938
447,70,1,4,9,16,6,4661
448,81,1,3,2,22,7,6392
449,79,1,6,9,16,6,1860
450,79,4,6,9,16,8,19
451,67,1,2,6,33,5,183
452,59,1,7,8,16,7,22334
453,71,0,1,8,16,7,412
454,54,1,4,9,16,7,25655
455,85,1,0,9,16,6,466405
456,60,1,0,9,16,7,166692
457,38,1,0,9,16,6,7433
458,80,1,13,6,33,7,66500
459,85,0,5,8,16,7,294
460,73,3,26,9,16,6,374
461,84,3,7,9,16,6,3218
462,80,3,7,9,16,4,328
463,83,2,2,8,16,8,2790
464,85,1,6,9,16,7,632
465,62,4,7,8,16,7,1742
466,82,7,2,9,16,6,3063
467,62,1,0,10,39,6,104
468,86,1,5,9,16,4,278
469,48,1,7,5,3,8,56717
470,65,1,4,1,1,7,6384
471,58,1,1,8,16,7,2668
472,80,7,20,9,16,3,305
473,54,1,7,10,55,8,32275
474,80,4,2,6,41,7,178
475,75,1,3,10,16,5,602
476,62,1,4,10,48,8,12159
477,86,7,6,10,16,6,33
478,63,1,1,0,41,7,21605
479,83,1,4,0,16,4,1200
480,86,1,6,9,16,7,928
481,80,7,13,8,16,6,114
482,73,1,3,9,16,6,4939
483,75,1,5,8,16,6,13674
484,87,2,7,9,16,7,5577
485,78,1,6,9,16,8,16117
486,86,7,6,9,16,6,209
487,85,4,0,6,33,8,7467
488,78,1,7,9,16,5,4813
489,86,1,4,4,26,4,1782
490,65,1,0,3,39,5,1622
491,65,3,7,8,16,6,213
492,63,1,0,8,16,6,95849
493,83,7,17,9,41,8,133
494,82,3,6,9,16,7,96
495,81,1,7,6,33,6,1692
496,26,1,4,8,16,7,632
497,53,1,13,5,32,6,10081
498,85,1,21,9,16,4,325
499,86,3,4,0,16,5,2261
500,82,3,3,9,16,6,523
501,85,1,0,6,33,6,531
502,66,1,1,9,16,6,51341
503,61,1,7,9,16,7,2022
504,32,1,4,9,16,6,1096
505,81,1,4,1,20,6,1759
507,85,1,21,10,16,5,40
508,83,4,0,0,16,4,2520
509,14,1,4,1,20,7,5480
510,79,1,7,0,16,7,1672
511,62,1,7,1,20,5,1580
512,78,3,4,9,16,6,3263
513,75,1,6,9,16,8,1085
514,82,0,6,7,41,7,11
515,80,3,6,9,16,5,109
516,53,1,13,5,16,6,10844
517,57,3,7,9,16,7,385
518,65,1,1,9,16,7,101961
519,87,3,2,9,16,6,13
520,41,4,7,9,41,9,75772
521,86,1,3,8,16,7,11461
522,80,7,2,0,16,7,671
523,54,1,4,4,26,8,3888
524,85,1,5,10,39,7,2598
525,56,4,7,7,41,7,20775
526,84,7,4,9,16,6,65
527,87,7,13,9,16,4,87
528,86,1,4,9,16,8,71
529,84,1,4,1,16,6,88542
530,62,0,4,7,16,8,250
531,27,1,3,9,16,7,3193
532,84,1,6,9,16,4,398
533,86,1,6,9,16,6,31
534,84,3,6,8,16,7,91
535,84,7,2,9,16,6,675
536,57,1,7,1,20,5,6087
537,67,1,4,9,16,7,42881
538,73,3,3,8,16,7,111
540,84,7,14,8,16,8,883
541,86,1,6,9,16,6,192
542,60,1,0,3,39,6,2424
543,85,1,6,9,16,6,5249
544,81,3,0,9,16,6,2571
545,60,4,2,7,41,7,1600
546,72,1,7,10,16,7,5932
548,68,1,0,3,7,6,1248
549,84,1,6,10,22,7,1685
550,83,1,3,1,3,5,542
551,84,1,4,10,63,6,45
552,59,1,0,9,16,4,3188
553,82,0,6,9,16,7,40
554,41,4,7,9,41,9,75772
555,84,1,7,0,16,6,14370
556,78,7,13,9,16,4,4586
557,82,7,5,9,16,5,15805
558,54,4,2,9,16,7,4578
559,54,1,0,3,39,7,35263
560,65,1,6,9,16,7,54
561,71,1,9,10,54,6,523
563,76,1,7,9,16,9,2461873
565,84,1,2,6,33,7,8671
566,86,4,2,6,33,7,608
568,76,1,0,1,16,8,1080665
569,82,1,4,10,54,6,897
570,82,7,21,9,16,7,677
571,84,7,2,9,16,6,95
572,85,0,6,7,41,7,21
573,81,1,4,9,16,5,2943
574,84,1,6,8,16,7,433
575,78,1,2,6,33,5,134
576,64,3,2,9,16,5,56
577,85,1,13,9,16,2,374
578,81,1,4,10,16,5,935
580,80,1,7,4,26,7,7696
581,82,2,2,6,33,6,776
582,86,4,6,0,16,7,20
583,82,0,5,8,16,7,783
584,84,7,6,9,16,8,103
585,85,3,3,9,16,7,3850
586,40,1,4,1,20,7,21112
587,84,3,3,8,16,7,211
588,85,3,7,9,16,3,185
589,84,3,7,9,16,6,137
591,80,1,6,8,16,6,7103
592,75,1,7,10,16,7,82126
593,76,1,0,8,16,5,4183
594,84,1,0,2,16,5,7531
595,79,1,5,7,41,6,10
596,84,1,7,10,16,6,1702
597,81,1,5,9,16,5,55242
598,87,1,7,8,16,6,3046
599,80,1,5,3,7,5,46
601,65,1,3,10,22,6,323
602,85,7,2,9,16,7,79
603,86,3,6,9,16,8,44
